id,name,ally,villages,points,att,def,sup,all
1577516952,C R I M E,529,3,5628,2118,286,0,2404
1577517051,transitio,0,1,381,0,0,0,0
1577517071,AlMoose,0,1,46,0,0,0,0
1577517087,Schmohl,0,1,1417,0,24,0,24
1577517180,jayjay955,0,1,460,0,6911,0,6911
1577517197,MyLove1.11,0,1,180,0,184,0,184
1577517238,Johnny sylverhand,275,2,4188,14676,10,0,14686
1577517307,TheSituation46,107,1,2416,3602,0,0,3602
1577517385,dennisk95,444,1,1933,294,1783,0,2077
1577517613,Baumi224,560,1,3370,981,167,0,1148
1577517648,Soldat89,0,1,1206,0,4720,0,4720
1577517703,Wanhedaa,168,1,597,0,10,0,10
1577517707,Shib,92,1,951,0,0,0,0
1577517708,Shib Army,92,1,920,0,0,0,0
1577517742,Chlodwig IV.,0,1,328,0,252,0,252
1577517772,Chrysanthem,37,1,579,0,17,734,751
1577517871,clubbaer,0,1,631,0,81,0,81
1577518015,Schattenkönigin,0,1,1029,0,26,0,26
1577518034,Wahnfried 1.,119,2,4813,52,91,0,143
