id,name,tag,members,villages,points,all_points,rank
679,Die erotischen Anfänger,DEA,4,10,42989,42989,116
680,Narcos,XxX,1,1,383,383,428
681,Eheg,Egeh,1,1,222,222,448
685,Die feuchten Banditen,DFB,10,10,10428,10428,195
686,Vreesien,VV,3,3,4110,4110,260
687,Alone Legends,ALL,1,2,8276,8276,213
688,Valhalla,VAHL,15,31,64005,64005,81
689,Brüder,BROS,2,2,1429,1429,339
690,Abrisskommando,ABK,1,4,12616,12616,187
691,Luftaret,GV,3,3,4761,4761,250
692,FightClub,Fc,2,2,1028,1028,368
693,Iron Fist,FIST,8,30,83849,83849,70
694,Letzte Instanz,INST,16,87,352834,352834,21
695,Sucht und Ehre,SuE,6,6,4108,4108,261
696,Matrix,Leo,1,1,795,795,381
697,}Skorpion~Fighter{,}S~F{,1,4,14646,14646,180
698,Awla,Awla,1,1,241,241,442
700,We are Legend,WaL,2,2,3240,3240,275
701,M-One,Tiger7,1,1,223,223,447
702,OUTLAST,ALONE,1,4,9079,9079,206
703,xxxxxx,yyyyyy,1,3,7577,7577,222
704,Bananen Splitter,Split,2,2,3451,3451,273
705,Blaue Wanderer,~BW~,8,8,7927,7927,217
706,Volksfront von Judäa,VVJ,1,1,2293,2293,301
707,Infightbug,Ifb,2,2,5726,5726,232
708,Toll Ein Anderer Machts,TEAM,3,3,4788,4788,249
710,Scheidenkrieger,FUT,9,9,3782,3782,267
711,Farmen,Farmer,2,2,3082,3082,277
712,Moininger,Moin,4,4,1177,1177,357
713,Senatus Populusque Romanus,_SPQR_,1,1,337,337,432
715,Holzis,HLZ,3,3,1243,1243,355
716,Ostwestfalen,Owl,2,5,4827,4827,248
717,Schattenhorde,Schatt,1,1,174,174,452
720,name,tag,1,1,808,808,380
721,Lyran Bash Crew,LYRANS,7,19,64274,64274,82
722,Veritas aut Mythos,VaM,1,3,2879,2879,280
723,CrazyJay,Jaysn,1,1,364,364,430
724,Timmy,Schaf,2,2,675,675,395
725,Feierabend,OFF,4,4,5425,5425,238
728,Dann mach ich es halt selbst,Dmiest,1,2,7510,7510,223
729,Die unterjochenden Über-Jochen,~UJÜJ~,3,3,5234,5234,242
730,Neo-empire,Neo,5,5,2387,2387,298
731,eXtrem,~X~,1,1,517,517,410
732,Dreist,3st!,1,1,1462,1462,337
733,Werbung,WBG,3,3,953,953,374
734,Der Kreis der Gerechten II,DKG II,7,13,31295,31295,137
735,Hexen Hütte,Zirkel,2,2,731,731,388
736,Tirol,Tirol,1,1,600,600,402
737,Last Survived Division,LSD,3,3,993,993,369
738,Shadow Garden,SG,2,2,1024,1024,363
739,Winkel,Nico,1,1,256,256,441
740,OneManShow,OMS,1,1,440,440,420
741,Die Zitadelle,DZ-NO,1,1,632,632,400
742,nur für Quest,Quest,1,3,9991,9991,197
743,Chiemgauer Brigade,C B,1,1,170,170,454
744,Riders in the Sky,R-S,3,3,8400,8400,212
745,Prometheus,-PRO-,1,1,1449,1449,336
746,Guttersl Slaughter,Blegh,1,1,193,193,450
747,Wolfspack,WP,1,1,180,180,453
748,EgoSol,ExS,1,1,166,166,457
749,NixDa,Nix,1,2,6892,6892,226
